stock_company,stock_code
HENG HUAT RESOURCES GROUP BERHAD,0175.KL
HENGYUAN REFINING COMPANY BERHAD,4324.KL
HEVEABOARD BERHAD,5095.KL
HEXTAR GLOBAL BERHAD,5151.KL
HEXTAR INDUSTRIES BERHAD,0161.KL
HEXZA CORPORATION BERHAD,3298.KL
HIAP HUAT HOLDINGS BERHAD,0160.KL
HIAP TECK VENTURE BERHAD,5072.KL
HIBISCUS PETROLEUM BERHAD,5199.KL
HIL INDUSTRIES BERHAD,8443.KL
HLT GLOBAL BERHAD,0188.KL
HO HUP CONSTRUCTION COMPANY BHD,5169.KL
HO WAH GENTING BERHAD,9601.KL
HOMERITZ CORPORATION BERHAD,5160.KL
HONG LEONG BANK BERHAD,5819.KL
HONG LEONG CAPITAL BERHAD,5274.KL
HONG LEONG FINANCIAL GROUP BERHAD,1082.KL
HONG LEONG INDUSTRIES BERHAD,3301.KL
HONG SENG CONSOLIDATED BERHAD,0041.KL
HPMT HOLDINGS BERHAD,5291.KL
HPP HOLDINGS BERHAD,0228.KL
HSS ENGINEERS BERHAD,0185.KL
HUA YANG BERHAD,5062.KL
HUBLINE BERHAD,7013.KL
HUME CEMENT INDUSTRIES BERHAD,5000.KL
HUP SENG INDUSTRIES BERHAD,5024.KL
HWA TAI INDUSTRIES BERHAD,8478.KL
I-BERHAD,4251.KL
IBRACO BERHAD,5084.KL
ICAPITAL.BIZ BERHAD,5108.KL
ICON OFFSHORE BERHAD,5255.KL
ICONIC WORLDWIDE BERHAD,9113.KL
ICT ZONE ASIA BERHAD,03038.KL
IDB TECHNOLOGIES BERHAD,03030.KL
IDEAL UNITED BINTANG INTERNATIONAL BERHAD,9687.KL
IDIMENSION CONSOLIDATED BHD,0174.KL
IFCA MSC BERHAD,0023.KL
IGB BERHAD,5606.KL
IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,5299.KL
IGB REAL ESTATE INVESTMENT TRUST,5227.KL
IHH HEALTHCARE BERHAD,5225.KL
IHSAN SUKUK-ETBS 4.60%0824,0401GA.KL
IJM CORPORATION BERHAD,3336.KL
IMASPRO CORPORATION BERHAD,7222.KL
IMPIANA HOTELS BERHAD,7243.KL
INARI AMERTRON BERHAD,0166.KL
INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,2607.KL
INDUSTRONICS BERHAD,9393.KL
INNATURE BERHAD,5295.KL
INNITY CORPORATION BERHAD,0147.KL
INNOPRISE PLANTATIONS BERHAD,6262.KL
INSAS BERHAD,3379.KL
INTA BINA GROUP BERHAD,0192.KL
INTEGRATED LOGISTICS BHD,5614.KL
IOI CORPORATION BERHAD,1961.KL
IOI PROPERTIES GROUP BERHAD,5249.KL
IQ GROUP HOLDINGS BERHAD,5107.KL
IQZAN HOLDING BERHAD,7183.KL
IREKA CORPORATION BERHAD,8834.KL
IRIS CORPORATION BERHAD,0010.KL
